"Could not save the apple customer: %1", "Could not save the apple customer: %1"
"Apple customer with id "%1" does not exist.", "Apple customer with id "%1" does not exist."
"Could not delete the Apple customer: %1", "Could not delete the Apple customer: %1"
"Or", "Or"
"Sign in with apple", "Sign in with apple"
"Apple Customer with auth sub "%1" does not exist.", "Apple Customer with auth sub "%1" does not exist."
"There was a problem accessing your token. Please contact administrator.", "There was a problem accessing your token. Please contact administrator."
"There was a error processing your request.", "There was a error processing your request."
"Something went wrong while getting user information from apple store.", "Something went wrong while getting user information from apple store."
